Name,Total Points from Summary,Sum of Fractal Host,Fractal Host,update?,Fractalgram Certification,Summary 4
Zaal,3558,920,320.0,,600,Zaal
Attabotty,3079,720,320.0,ended at Fractal 53 for discord bot,400,Attabotty
Hurric4n3ike,2740,0,,,,Hurric4n3ike
Prizem,2550,0,,,,Prizem
EZinCrypto,2402,220,220.0,,,EZinCrypto
CandyToyBox,2360,0,,,,CandyToyBox
Gneric,1659,0,,,,Gneric
Ohnahji B,1581,120,,updated after fractal 48 4/8,120,Ohnahji B
jed XO,1379,0,,,,jed XO
heather,1147,80,80.0,updated after fractal 48 4/8,,heather
FailOften,1122,0,,,,FailOften
Meta Mu,1023,0,,,,Meta Mu
Jose (Joesph Goats),968,0,,,,Jose (Joesph Goats)
Jango UU,940,0,,,,Jango UU
Tricky,878,0,,,,Tricky
Zach L.,799,0,,,,Zach L.
fellenz,795,0,,,,fellenz
Songs of Eden,785,0,,,,Songs of Eden
Danici,581,0,,,,Danici
DopeStilo,520,0,,,,DopeStilo
Binx,505,0,,,,Binx
Krem Beats,500,0,,,,Krem Beats
DCoop,468,0,,,,DCoop
Melatto,451,0,,,,Melatto
john blackwell,355,0,,,,john blackwell
Mumbo,340,0,,,,Mumbo
Mr McFly,320,0,,,,Mr McFly
0$,315,0,,,,0$
Mr Darius,300,0,,,,Mr Darius
Shawn,299,0,,,,Shawn
Desultor,244,0,,,,Desultor
LUI,241,0,,,,LUI
Tej,239,0,,,,Tej
Trey,220,0,,,,Trey
Visceral,206,0,,,,Visceral
PR0F!T,186,0,,,,PR0F!T
trishgia,182,0,,,,trishgia
Anesi,178,0,,,,Anesi
Kosbaar,176,0,,,,Kosbaar
Geek Myth,172,0,,,,Geek Myth
Carlos (Gen-Ops),172,0,,,,Carlos (Gen-Ops)
Jake K,163,0,,,,Jake K
Daniel Obute,162,0,,,,Daniel Obute
Jen (One Love),150,0,,,,Jen (One Love)
1frog9,136,0,,,,1frog9
Tadas,136,0,,,,Tadas
fernando,120,0,,,,fernando
Digital Samurai,120,0,,,,Digital Samurai
The Blue Rush,120,0,,,,The Blue Rush
Goose Park,120,0,,,,Goose Park
Dan Singjoy,118,0,,,,Dan Singjoy
Raqs,117,0,,,,Raqs
Ginger,110,0,,,,Ginger
EVERSE,110,0,,,,EVERSE
Ade Adeyemo,110,0,,,,Ade Adeyemo
Motomoto,110,0,,,,Motomoto
